Team 1,Team2
Qatar,Ecuador
Senegal,Netherlands
England,Iran
USA,Wales
Argentina,Saudi Arabia
Denmark,Tunisia
Mexico,Poland
France,Australia
Morocco,Croatia
Germany,Japan
Spain,Costa Rica
Belgium,Canada
Switzerland,Cameroon
Uruguay,Korea Republic
Portugal,Ghana
Brazil,Serbia
Wales,Iran
Qatar,Senegal
Netherlands,Ecuador
England,USA
Tunisia,Australia
Poland,Saudi Arabia
France,Denmark
Argentina,Mexico
Japan,Costa Rica
Belgium,Morocco
Croatia,Canada
Spain,Germany
Cameroon,Serbia
Korea Republic,Ghana
Brazil,Switzerland
Portugal,Uruguay
Netherlands,Qatar
Ecuador,Senegal
Wales,England
Iran,USA
Tunisia,France
Australia,Denmark
Poland,Argentina
Saudi Arabia,Mexico
Croatia,Belgium
Canada,Morocco
Japan,Spain
Costa Rica,Germany
Korea Republic,Portugal
Ghana,Uruguay
Cameroon,Brazil
Serbia,Switzerland
